reward,step_time,total_stopped,total_wait_time
0.0,5.0,0,0.0
0.0,10.0,0,0.0
0.0,15.0,4,8.0
-8.0,20.0,6,33.0
-25.0,25.0,3,37.0
-4.0,30.0,2,28.0
9.0,35.0,2,31.0
-3.0,40.0,2,6.0
25.0,45.0,2,16.0
-10.0,50.0,0,0.0
16.0,55.0,2,8.0
-8.0,60.0,0,0.0
8.0,65.0,10,24.0
-24.0,70.0,6,55.0
-31.0,75.0,7,63.0
-8.0,80.0,4,62.0
1.0,85.0,5,54.0
8.0,90.0,4,57.0
-3.0,95.0,4,71.0
-14.0,100.0,4,91.0
-20.0,105.0,2,38.0
53.0,110.0,4,52.0
-14.0,115.0,6,34.0
18.0,120.0,6,50.0
-16.0,125.0,6,80.0
-30.0,130.0,2,67.0
13.0,135.0,5,50.0
17.0,140.0,2,19.0
31.0,145.0,2,19.0
0.0,150.0,0,5.0
14.0,155.0,2,11.0
-6.0,160.0,9,40.0
-29.0,165.0,10,90.0
-50.0,170.0,6,98.0
-8.0,175.0,6,94.0
4.0,180.0,6,97.0
-3.0,185.0,4,89.0
8.0,190.0,5,84.0
5.0,195.0,2,32.0
52.0,200.0,2,19.0
13.0,205.0,3,30.0
-11.0,210.0,7,41.0
-11.0,215.0,8,77.0
-36.0,220.0,4,68.0
9.0,225.0,5,63.0
5.0,230.0,6,89.0
-26.0,235.0,5,74.0
15.0,240.0,3,59.0
15.0,245.0,3,58.0
1.0,250.0,2,33.0
25.0,255.0,4,6.0
27.0,260.0,8,35.0
-29.0,265.0,6,55.0
-20.0,270.0,5,61.0
-6.0,275.0,5,78.0
-17.0,280.0,7,73.0
5.0,285.0,3,60.0
13.0,290.0,3,51.0
9.0,295.0,4,39.0
12.0,300.0,5,60.0
-21.0,305.0,10,52.0
8.0,310.0,8,66.0
-14.0,315.0,8,93.0
-27.0,320.0,4,93.0
0.0,325.0,4,85.0
8.0,330.0,4,65.0
20.0,335.0,4,82.0
-17.0,340.0,2,74.0
8.0,345.0,2,7.0
67.0,350.0,4,19.0
-12.0,355.0,7,38.0
-19.0,360.0,5,53.0
-15.0,365.0,7,74.0
-21.0,370.0,3,73.0
1.0,375.0,5,75.0
