reward,step_time,total_stopped,total_wait_time
-9.0,5.0,0,0.0
0.0,10.0,4,0.0
0.0,15.0,0,0.0
0.0,20.0,6,22.0
-22.0,25.0,10,56.0
-34.0,30.0,10,106.0
-50.0,35.0,8,120.0
-14.0,40.0,10,133.0
-13.0,45.0,12,145.0
-12.0,50.0,8,161.0
-16.0,55.0,20,190.0
-29.0,60.0,8,168.0
22.0,65.0,12,161.0
7.0,70.0,9,172.0
-11.0,75.0,11,175.0
-3.0,80.0,9,144.0
31.0,85.0,11,128.0
16.0,90.0,10,130.0
-2.0,95.0,8,147.0
-17.0,100.0,15,158.0
-11.0,105.0,6,158.0
0.0,110.0,11,163.0
-5.0,115.0,7,129.0
34.0,120.0,12,140.0
-11.0,125.0,17,197.0
-57.0,130.0,11,205.0
-8.0,135.0,15,222.0
-17.0,140.0,9,226.0
-4.0,145.0,17,206.0
20.0,150.0,14,193.0
13.0,155.0,10,193.0
0.0,160.0,9,157.0
36.0,165.0,14,193.0
-36.0,170.0,12,217.0
-24.0,175.0,10,225.0
-8.0,180.0,11,209.0
16.0,185.0,11,190.0
19.0,190.0,19,204.0
-14.0,195.0,10,223.0
-19.0,200.0,15,247.0
-24.0,205.0,11,244.0
3.0,210.0,11,241.0
3.0,215.0,14,179.0
62.0,220.0,10,188.0
-9.0,225.0,15,205.0
-17.0,230.0,10,224.0
-19.0,235.0,23,229.0
-5.0,240.0,12,244.0
-15.0,245.0,12,241.0
3.0,250.0,5,185.0
56.0,255.0,13,142.0
43.0,260.0,17,214.0
-72.0,265.0,12,254.0
-40.0,270.0,13,262.0
-8.0,275.0,15,265.0
-3.0,280.0,14,274.0
-9.0,285.0,7,221.0
53.0,290.0,16,188.0
33.0,295.0,12,212.0
-24.0,300.0,10,206.0
6.0,305.0,11,189.0
17.0,310.0,8,165.0
24.0,315.0,15,174.0
-9.0,320.0,11,194.0
-20.0,325.0,22,186.0
8.0,330.0,10,192.0
-6.0,335.0,11,162.0
30.0,340.0,10,141.0
21.0,345.0,14,174.0
-33.0,350.0,14,201.0
-27.0,355.0,10,218.0
-17.0,360.0,14,238.0
-20.0,365.0,9,227.0
11.0,370.0,18,239.0
-12.0,375.0,9,198.0
41.0,380.0,12,155.0
43.0,385.0,12,173.0
-18.0,390.0,9,175.0
-2.0,395.0,12,194.0
-19.0,400.0,16,239.0
-45.0,405.0,13,255.0
-16.0,410.0,11,233.0
22.0,415.0,21,219.0
14.0,420.0,15,253.0
-34.0,425.0,13,251.0
2.0,430.0,15,270.0
-19.0,435.0,16,285.0
-15.0,440.0,15,300.0
-15.0,445.0,13,285.0
15.0,450.0,13,236.0
49.0,455.0,15,209.0
27.0,460.0,17,221.0
-12.0,465.0,10,218.0
3.0,470.0,12,186.0
32.0,475.0,10,187.0
-1.0,480.0,12,189.0
-2.0,485.0,13,191.0
-2.0,490.0,13,220.0
-29.0,495.0,11,206.0
14.0,500.0,12,204.0
2.0,505.0,24,222.0
-18.0,510.0,17,270.0
-48.0,515.0,13,297.0
-27.0,520.0,13,269.0
28.0,525.0,13,260.0
9.0,530.0,12,240.0
20.0,535.0,9,208.0
32.0,540.0,15,178.0
30.0,545.0,13,210.0
-32.0,550.0,17,227.0
-17.0,555.0,8,217.0
10.0,560.0,13,194.0
23.0,565.0,12,175.0
19.0,570.0,14,176.0
-1.0,575.0,14,196.0
-20.0,580.0,12,218.0
-22.0,585.0,12,210.0
8.0,590.0,13,244.0
-34.0,595.0,21,245.0
-1.0,600.0,12,211.0
34.0,605.0,12,206.0
5.0,610.0,13,224.0
-18.0,615.0,15,242.0
-18.0,620.0,14,242.0
0.0,625.0,13,258.0
-16.0,630.0,17,249.0
9.0,635.0,14,282.0
-33.0,640.0,17,322.0
-40.0,645.0,10,288.0
34.0,650.0,19,271.0
17.0,655.0,15,261.0
10.0,660.0,14,236.0
25.0,665.0,14,241.0
-5.0,670.0,13,227.0
14.0,675.0,10,212.0
15.0,680.0,10,195.0
17.0,685.0,20,229.0
-34.0,690.0,13,234.0
-5.0,695.0,15,241.0
-7.0,700.0,13,273.0
-32.0,705.0,17,309.0
-36.0,710.0,14,329.0
-20.0,715.0,14,332.0
-3.0,720.0,19,364.0
-32.0,725.0,15,363.0
1.0,730.0,17,305.0
58.0,735.0,13,284.0
21.0,740.0,13,292.0
-8.0,745.0,12,268.0
24.0,750.0,11,219.0
49.0,755.0,14,161.0
58.0,760.0,10,171.0
-10.0,765.0,10,180.0
-9.0,770.0,6,160.0
20.0,775.0,17,163.0
-3.0,780.0,9,142.0
21.0,785.0,12,139.0
3.0,790.0,10,151.0
-12.0,795.0,11,165.0
-14.0,800.0,10,136.0
29.0,805.0,7,134.0
2.0,810.0,10,132.0
2.0,815.0,8,129.0
3.0,820.0,14,125.0
4.0,825.0,12,169.0
-44.0,830.0,12,203.0
-34.0,835.0,11,210.0
-7.0,840.0,10,199.0
11.0,845.0,12,148.0
51.0,850.0,11,168.0
-20.0,855.0,12,163.0
5.0,860.0,8,140.0
23.0,865.0,20,143.0
-3.0,870.0,10,162.0
-19.0,875.0,10,152.0
10.0,880.0,12,194.0
-42.0,885.0,10,216.0
-22.0,890.0,8,173.0
43.0,895.0,12,160.0
13.0,900.0,12,168.0
-8.0,905.0,11,166.0
2.0,910.0,13,153.0
13.0,915.0,9,159.0
-6.0,920.0,15,187.0
-28.0,925.0,12,200.0
-13.0,930.0,11,216.0
-16.0,935.0,11,212.0
4.0,940.0,12,205.0
7.0,945.0,17,228.0
-23.0,950.0,18,314.0
-86.0,955.0,25,364.0
-50.0,960.0,16,395.0
-31.0,965.0,12,358.0
37.0,970.0,13,334.0
24.0,975.0,14,278.0
56.0,980.0,13,259.0
19.0,985.0,16,245.0
14.0,990.0,16,270.0
-25.0,995.0,14,290.0
-20.0,1000.0,20,298.0
-8.0,1005.0,16,333.0
-35.0,1010.0,18,352.0
-19.0,1015.0,16,334.0
18.0,1020.0,18,323.0
11.0,1025.0,17,337.0
-14.0,1030.0,16,357.0
-20.0,1035.0,14,374.0
-17.0,1040.0,13,365.0
9.0,1045.0,27,376.0
-11.0,1050.0,19,352.0
24.0,1055.0,15,362.0
-10.0,1060.0,15,338.0
24.0,1065.0,15,322.0
16.0,1070.0,16,316.0
6.0,1075.0,18,315.0
1.0,1080.0,18,332.0
-17.0,1085.0,15,358.0
-26.0,1090.0,19,373.0
-15.0,1095.0,16,354.0
19.0,1100.0,16,365.0
-11.0,1105.0,15,345.0
20.0,1110.0,16,357.0
-12.0,1115.0,20,347.0
10.0,1120.0,20,327.0
20.0,1125.0,22,377.0
-50.0,1130.0,20,421.0
-44.0,1135.0,29,419.0
2.0,1140.0,19,442.0
-23.0,1145.0,17,400.0
42.0,1150.0,17,396.0
4.0,1155.0,20,443.0
-47.0,1160.0,18,448.0
-5.0,1165.0,18,477.0
-29.0,1170.0,23,495.0
-18.0,1175.0,21,544.0
-49.0,1180.0,23,535.0
9.0,1185.0,22,538.0
-3.0,1190.0,25,529.0
9.0,1195.0,22,525.0
4.0,1200.0,19,553.0
-28.0,1205.0,21,538.0
15.0,1210.0,18,552.0
-14.0,1215.0,20,540.0
12.0,1220.0,17,501.0
39.0,1225.0,29,426.0
75.0,1230.0,21,482.0
-56.0,1235.0,20,514.0
-32.0,1240.0,21,494.0
20.0,1245.0,20,535.0
-41.0,1250.0,18,520.0
15.0,1255.0,23,474.0
46.0,1260.0,24,481.0
-7.0,1265.0,23,469.0
12.0,1270.0,23,484.0
-15.0,1275.0,13,476.0
8.0,1280.0,16,412.0
64.0,1285.0,16,395.0
17.0,1290.0,14,351.0
44.0,1295.0,21,375.0
-24.0,1300.0,17,399.0
-24.0,1305.0,13,385.0
14.0,1310.0,10,326.0
59.0,1315.0,26,309.0
17.0,1320.0,15,309.0
0.0,1325.0,16,337.0
-28.0,1330.0,14,335.0
2.0,1335.0,12,326.0
9.0,1340.0,15,304.0
22.0,1345.0,12,257.0
47.0,1350.0,18,216.0
41.0,1355.0,15,237.0
-21.0,1360.0,18,247.0
-10.0,1365.0,12,269.0
-22.0,1370.0,17,287.0
-18.0,1375.0,14,268.0
19.0,1380.0,17,251.0
17.0,1385.0,15,267.0
-16.0,1390.0,14,269.0
-2.0,1395.0,13,297.0
-28.0,1400.0,12,291.0
6.0,1405.0,23,273.0
18.0,1410.0,15,235.0
38.0,1415.0,12,249.0
-14.0,1420.0,9,228.0
21.0,1425.0,15,254.0
-26.0,1430.0,12,255.0
-1.0,1435.0,10,221.0
34.0,1440.0,13,192.0
29.0,1445.0,14,190.0
2.0,1450.0,16,191.0
-1.0,1455.0,9,207.0
-16.0,1460.0,14,220.0
-13.0,1465.0,10,222.0
-2.0,1470.0,9,202.0
20.0,1475.0,10,142.0
60.0,1480.0,13,179.0
-37.0,1485.0,10,179.0
0.0,1490.0,10,170.0
9.0,1495.0,20,177.0
-7.0,1500.0,12,177.0
0.0,1505.0,11,180.0
-3.0,1510.0,13,203.0
-23.0,1515.0,17,253.0
-50.0,1520.0,14,256.0
-3.0,1525.0,16,271.0
-15.0,1530.0,18,286.0
-15.0,1535.0,15,298.0
-12.0,1540.0,18,265.0
33.0,1545.0,17,285.0
-20.0,1550.0,14,293.0
-8.0,1555.0,11,286.0
7.0,1560.0,11,222.0
64.0,1565.0,16,256.0
-34.0,1570.0,12,257.0
-1.0,1575.0,15,254.0
3.0,1580.0,10,224.0
30.0,1585.0,22,191.0
33.0,1590.0,14,261.0
-70.0,1595.0,14,307.0
-46.0,1600.0,12,293.0
14.0,1605.0,14,238.0
55.0,1610.0,12,232.0
6.0,1615.0,10,176.0
56.0,1620.0,16,189.0
-13.0,1625.0,12,204.0
-15.0,1630.0,17,238.0
-34.0,1635.0,8,238.0
0.0,1640.0,11,187.0
51.0,1645.0,6,130.0
57.0,1650.0,10,152.0
-22.0,1655.0,10,144.0
8.0,1660.0,13,185.0
-41.0,1665.0,10,183.0
2.0,1670.0,6,174.0
9.0,1675.0,21,185.0
-11.0,1680.0,10,185.0
0.0,1685.0,10,150.0
35.0,1690.0,11,191.0
-41.0,1695.0,9,178.0
13.0,1700.0,11,177.0
1.0,1705.0,8,166.0
11.0,1710.0,10,146.0
20.0,1715.0,9,106.0
40.0,1720.0,10,113.0
-7.0,1725.0,10,146.0
-33.0,1730.0,10,143.0
3.0,1735.0,12,152.0
-9.0,1740.0,9,148.0
4.0,1745.0,9,142.0
6.0,1750.0,10,125.0
17.0,1755.0,12,163.0
-38.0,1760.0,7,168.0
-5.0,1765.0,19,176.0
-8.0,1770.0,8,155.0
21.0,1775.0,11,142.0
13.0,1780.0,8,125.0
17.0,1785.0,13,154.0
-29.0,1790.0,10,177.0
-23.0,1795.0,6,157.0
20.0,1800.0,11,126.0
31.0,1805.0,12,150.0
-24.0,1810.0,14,154.0
-4.0,1815.0,11,191.0
-37.0,1820.0,11,184.0
7.0,1825.0,12,194.0
-10.0,1830.0,12,248.0
-54.0,1835.0,7,232.0
16.0,1840.0,10,171.0
61.0,1845.0,8,129.0
42.0,1850.0,8,96.0
33.0,1855.0,22,157.0
-61.0,1860.0,8,171.0
-14.0,1865.0,10,175.0
-4.0,1870.0,8,156.0
19.0,1875.0,11,146.0
10.0,1880.0,9,121.0
25.0,1885.0,9,111.0
10.0,1890.0,11,129.0
-18.0,1895.0,11,146.0
-17.0,1900.0,13,156.0
-10.0,1905.0,8,164.0
-8.0,1910.0,13,194.0
-30.0,1915.0,11,175.0
19.0,1920.0,12,169.0
6.0,1925.0,12,179.0
-10.0,1930.0,13,210.0
-31.0,1935.0,10,200.0
10.0,1940.0,8,155.0
45.0,1945.0,22,193.0
-38.0,1950.0,8,179.0
14.0,1955.0,11,165.0
14.0,1960.0,9,149.0
16.0,1965.0,13,182.0
-33.0,1970.0,9,177.0
5.0,1975.0,7,107.0
70.0,1980.0,6,97.0
10.0,1985.0,9,100.0
-3.0,1990.0,14,150.0
-50.0,1995.0,7,133.0
17.0,2000.0,10,137.0
-4.0,2005.0,10,142.0
-5.0,2010.0,14,196.0
-54.0,2015.0,14,204.0
-8.0,2020.0,13,215.0
-11.0,2025.0,13,200.0
15.0,2030.0,8,187.0
13.0,2035.0,20,171.0
16.0,2040.0,10,157.0
14.0,2045.0,15,175.0
-18.0,2050.0,11,200.0
-25.0,2055.0,13,205.0
-5.0,2060.0,10,212.0
-7.0,2065.0,10,199.0
13.0,2070.0,12,167.0
32.0,2075.0,12,151.0
16.0,2080.0,18,216.0
-65.0,2085.0,8,225.0
-9.0,2090.0,13,220.0
5.0,2095.0,9,194.0
26.0,2100.0,13,190.0
4.0,2105.0,13,180.0
10.0,2110.0,12,161.0
19.0,2115.0,10,164.0
-3.0,2120.0,9,164.0
0.0,2125.0,16,133.0
31.0,2130.0,12,146.0
-13.0,2135.0,12,160.0
-14.0,2140.0,8,160.0
0.0,2145.0,13,159.0
1.0,2150.0,10,162.0
-3.0,2155.0,9,145.0
17.0,2160.0,15,189.0
-44.0,2165.0,9,184.0
5.0,2170.0,13,179.0
5.0,2175.0,8,163.0
16.0,2180.0,9,150.0
13.0,2185.0,9,110.0
40.0,2190.0,10,139.0
-29.0,2195.0,9,156.0
-17.0,2200.0,12,194.0
-38.0,2205.0,9,169.0
25.0,2210.0,10,151.0
18.0,2215.0,18,135.0
16.0,2220.0,10,146.0
-11.0,2225.0,6,139.0
7.0,2230.0,7,108.0
31.0,2235.0,7,99.0
9.0,2240.0,8,81.0
18.0,2245.0,8,117.0
-36.0,2250.0,10,107.0
10.0,2255.0,10,137.0
-30.0,2260.0,13,134.0
3.0,2265.0,5,121.0
13.0,2270.0,10,98.0
23.0,2275.0,11,140.0
-42.0,2280.0,8,141.0
-1.0,2285.0,11,161.0
-20.0,2290.0,8,159.0
2.0,2295.0,8,127.0
32.0,2300.0,4,79.0
48.0,2305.0,18,92.0
-13.0,2310.0,8,119.0
-27.0,2315.0,10,161.0
-42.0,2320.0,5,137.0
24.0,2325.0,8,87.0
50.0,2330.0,8,109.0
-22.0,2335.0,6,91.0
18.0,2340.0,10,106.0
-15.0,2345.0,11,160.0
-54.0,2350.0,13,156.0
4.0,2355.0,6,133.0
23.0,2360.0,11,104.0
29.0,2365.0,11,158.0
-54.0,2370.0,9,163.0
-5.0,2375.0,9,151.0
12.0,2380.0,10,131.0
20.0,2385.0,12,171.0
-40.0,2390.0,8,159.0
12.0,2395.0,20,184.0
-25.0,2400.0,8,168.0
16.0,2405.0,10,158.0
10.0,2410.0,7,137.0
21.0,2415.0,10,96.0
41.0,2420.0,8,97.0
-1.0,2425.0,7,80.0
17.0,2430.0,12,120.0
-40.0,2435.0,9,129.0
-9.0,2440.0,11,142.0
-13.0,2445.0,7,132.0
10.0,2450.0,8,112.0
20.0,2455.0,10,115.0
-3.0,2460.0,9,115.0
0.0,2465.0,12,141.0
-26.0,2470.0,9,165.0
-24.0,2475.0,10,179.0
-14.0,2480.0,6,153.0
26.0,2485.0,18,103.0
50.0,2490.0,10,125.0
-22.0,2495.0,14,184.0
-59.0,2500.0,9,195.0
-11.0,2505.0,12,210.0
-15.0,2510.0,9,182.0
28.0,2515.0,12,171.0
11.0,2520.0,12,165.0
6.0,2525.0,11,182.0
-17.0,2530.0,17,203.0
-21.0,2535.0,10,206.0
-3.0,2540.0,13,191.0
15.0,2545.0,10,156.0
35.0,2550.0,13,162.0
-6.0,2555.0,16,232.0
