reward,step_time,total_stopped,total_wait_time
0.0,125.0,80,4536.0
-4536.0,130.0,74,4509.0
27.0,135.0,64,4616.0
-107.0,140.0,54,4718.0
-102.0,145.0,62,4735.0
-17.0,150.0,54,4783.0
-48.0,155.0,48,4795.0
-12.0,160.0,48,4829.0
-34.0,165.0,54,4717.0
112.0,170.0,48,4573.0
144.0,175.0,44,4652.0
-79.0,180.0,46,4652.0
0.0,185.0,42,4747.0
-95.0,190.0,53,4782.0
-35.0,195.0,61,4647.0
135.0,200.0,66,4367.0
280.0,205.0,64,4401.0
-34.0,210.0,60,4451.0
-50.0,215.0,60,4481.0
-30.0,220.0,55,4501.0
-20.0,225.0,50,4509.0
-8.0,230.0,55,4380.0
129.0,235.0,68,4288.0
92.0,240.0,66,4321.0
-33.0,245.0,69,4123.0
198.0,250.0,68,4226.0
-103.0,255.0,64,4396.0
-170.0,260.0,60,4454.0
-58.0,265.0,60,4560.0
-106.0,270.0,62,4609.0
-49.0,275.0,59,4853.0
-244.0,280.0,59,5053.0
-200.0,285.0,56,5119.0
-66.0,290.0,56,5394.0
-275.0,295.0,67,5706.0
-312.0,300.0,71,5788.0
-82.0,305.0,63,5904.0
-116.0,310.0,61,6209.0
-305.0,315.0,70,6345.0
-136.0,320.0,62,6341.0
4.0,325.0,60,6626.0
-285.0,330.0,56,6702.0
-76.0,335.0,51,6634.0
68.0,340.0,46,6865.0
-231.0,345.0,50,6886.0
-21.0,350.0,48,6718.0
168.0,355.0,53,6504.0
214.0,360.0,57,6369.0
135.0,365.0,60,6177.0
192.0,370.0,56,6096.0
81.0,375.0,47,6207.0
-111.0,380.0,43,6388.0
-181.0,385.0,45,6235.0
153.0,390.0,55,6475.0
-240.0,395.0,70,6805.0
-330.0,400.0,68,6766.0
39.0,405.0,63,7083.0
-317.0,410.0,64,7035.0
48.0,415.0,70,6956.0
79.0,420.0,62,6572.0
384.0,425.0,57,6509.0
63.0,430.0,52,6750.0
-241.0,435.0,54,6702.0
48.0,440.0,52,6954.0
-252.0,445.0,65,7258.0
-304.0,450.0,75,7615.0
-357.0,455.0,85,8020.0
-405.0,460.0,93,8033.0
-13.0,465.0,86,7709.0
324.0,470.0,83,8132.0
-423.0,475.0,87,8554.0
-422.0,480.0,85,8596.0
-42.0,485.0,80,8712.0
-116.0,490.0,78,9097.0
-385.0,495.0,71,9462.0
-365.0,500.0,66,9409.0
53.0,505.0,73,9741.0
-332.0,510.0,75,9680.0
61.0,515.0,75,10055.0
-375.0,520.0,78,10060.0
-5.0,525.0,75,9571.0
489.0,530.0,70,9240.0
331.0,535.0,71,9566.0
-326.0,540.0,78,9729.0
-163.0,545.0,75,9729.0
0.0,550.0,67,9596.0
133.0,555.0,65,8816.0
780.0,560.0,55,8866.0
-50.0,565.0,49,8736.0
130.0,570.0,52,8968.0
-232.0,575.0,60,9250.0
-282.0,580.0,63,9307.0
-57.0,585.0,54,9167.0
140.0,590.0,52,9188.0
-21.0,595.0,59,9025.0
163.0,600.0,52,8858.0
167.0,605.0,51,8945.0
-87.0,610.0,54,8956.0
-11.0,615.0,60,9165.0
-209.0,620.0,65,9399.0
-234.0,625.0,68,9267.0
132.0,630.0,72,8746.0
521.0,635.0,61,8189.0
557.0,640.0,48,7399.0
790.0,645.0,43,7558.0
-159.0,650.0,44,7441.0
117.0,655.0,41,7207.0
234.0,660.0,37,7073.0
134.0,665.0,39,6691.0
382.0,670.0,36,6154.0
537.0,675.0,38,6171.0
-17.0,680.0,43,6047.0
124.0,685.0,63,6073.0
-26.0,690.0,59,6150.0
-77.0,695.0,55,6382.0
-232.0,700.0,55,6531.0
-149.0,705.0,56,6770.0
-239.0,710.0,65,6884.0
-114.0,715.0,60,7174.0
-290.0,720.0,53,7333.0
-159.0,725.0,56,7427.0
-94.0,730.0,54,7590.0
-163.0,735.0,54,7745.0
-155.0,740.0,54,7965.0
-220.0,745.0,60,8239.0
-274.0,750.0,62,8374.0
-135.0,755.0,60,8677.0
-303.0,760.0,56,8938.0
-261.0,765.0,55,9212.0
-274.0,770.0,62,9509.0
-297.0,775.0,76,9842.0
-333.0,780.0,70,9523.0
319.0,785.0,58,9622.0
-99.0,790.0,49,9864.0
-242.0,795.0,40,9402.0
462.0,800.0,32,9560.0
-158.0,805.0,36,9719.0
-159.0,810.0,45,9248.0
471.0,815.0,45,9225.0
23.0,820.0,41,8882.0
343.0,825.0,31,8376.0
506.0,830.0,27,8487.0
-111.0,835.0,34,8636.0
-149.0,840.0,38,8608.0
28.0,845.0,46,8812.0
-204.0,850.0,49,8845.0
-33.0,855.0,44,8699.0
146.0,860.0,44,8440.0
259.0,865.0,53,8284.0
156.0,870.0,48,8303.0
-19.0,875.0,48,8293.0
10.0,880.0,48,8498.0
-205.0,885.0,51,8722.0
-224.0,890.0,50,8958.0
-236.0,895.0,50,9206.0
-248.0,900.0,51,9430.0
-224.0,905.0,48,8872.0
558.0,910.0,41,9067.0
-195.0,915.0,40,9262.0
-195.0,920.0,34,8642.0
620.0,925.0,23,8550.0
92.0,930.0,21,8299.0
251.0,935.0,27,8140.0
159.0,940.0,33,8258.0
-118.0,945.0,41,8447.0
-189.0,950.0,41,7830.0
617.0,955.0,44,7934.0
-104.0,960.0,35,7991.0
-57.0,965.0,32,8154.0
-163.0,970.0,31,7476.0
678.0,975.0,33,7637.0
-161.0,980.0,39,7828.0
-191.0,985.0,32,7888.0
-60.0,990.0,28,7970.0
-82.0,995.0,38,8030.0
-60.0,1000.0,42,7358.0
672.0,1005.0,36,7450.0
-92.0,1010.0,33,7587.0
-137.0,1015.0,32,7663.0
-76.0,1020.0,26,6924.0
739.0,1025.0,33,7052.0
-128.0,1030.0,39,7150.0
-98.0,1035.0,29,6452.0
698.0,1040.0,28,5117.0
1335.0,1045.0,42,3566.0
1551.0,1050.0,34,3602.0
-36.0,1055.0,31,3530.0
72.0,1060.0,39,3663.0
-133.0,1065.0,43,3750.0
-87.0,1070.0,35,3867.0
-117.0,1075.0,37,3489.0
378.0,1080.0,39,3671.0
-182.0,1085.0,38,3798.0
-127.0,1090.0,41,3424.0
374.0,1095.0,39,3617.0
-193.0,1100.0,48,3842.0
-225.0,1105.0,43,4012.0
-170.0,1110.0,47,4059.0
-47.0,1115.0,45,3713.0
346.0,1120.0,39,3870.0
-157.0,1125.0,38,4013.0
-143.0,1130.0,39,4022.0
-9.0,1135.0,46,4182.0
-160.0,1140.0,48,4404.0
-222.0,1145.0,55,4670.0
-266.0,1150.0,64,4971.0
-301.0,1155.0,73,5313.0
-342.0,1160.0,72,5452.0
-139.0,1165.0,61,5326.0
126.0,1170.0,55,4537.0
789.0,1175.0,41,4031.0
506.0,1180.0,38,4202.0
-171.0,1185.0,39,4137.0
65.0,1190.0,42,4119.0
18.0,1195.0,41,3925.0
194.0,1200.0,33,3998.0
-73.0,1205.0,41,4177.0
-179.0,1210.0,51,4120.0
57.0,1215.0,55,4384.0
-264.0,1220.0,52,4492.0
-108.0,1225.0,55,4734.0
-242.0,1230.0,52,4685.0
49.0,1235.0,55,4952.0
-267.0,1240.0,61,5245.0
-293.0,1245.0,55,5293.0
-48.0,1250.0,55,5556.0
-263.0,1255.0,58,5833.0
-277.0,1260.0,61,5932.0
-99.0,1265.0,58,5966.0
-34.0,1270.0,62,5703.0
263.0,1275.0,59,5815.0
-112.0,1280.0,48,5853.0
-38.0,1285.0,51,5504.0
