reward,step_time,total_stopped,total_wait_time
-25.0,5.0,0,0.0
0.0,10.0,4,0.0
0.0,15.0,0,0.0
0.0,20.0,6,17.0
-17.0,25.0,6,33.0
-16.0,30.0,6,63.0
-30.0,35.0,4,56.0
7.0,40.0,8,77.0
-21.0,45.0,10,105.0
-28.0,50.0,6,86.0
19.0,55.0,18,102.0
-16.0,60.0,8,137.0
-35.0,65.0,5,124.0
13.0,70.0,6,78.0
46.0,75.0,6,59.0
19.0,80.0,6,54.0
5.0,85.0,8,93.0
-39.0,90.0,14,147.0
-54.0,95.0,14,217.0
-70.0,100.0,14,237.0
-20.0,105.0,8,223.0
14.0,110.0,14,268.0
-45.0,115.0,8,244.0
24.0,120.0,12,234.0
10.0,125.0,9,187.0
47.0,130.0,11,136.0
51.0,135.0,9,133.0
3.0,140.0,8,128.0
5.0,145.0,21,189.0
-61.0,150.0,11,205.0
-16.0,155.0,11,191.0
14.0,160.0,6,124.0
67.0,165.0,12,143.0
-19.0,170.0,12,178.0
-35.0,175.0,10,191.0
-13.0,180.0,14,208.0
-17.0,185.0,11,241.0
-33.0,190.0,14,211.0
30.0,195.0,14,223.0
-12.0,200.0,20,292.0
-69.0,205.0,17,335.0
-43.0,210.0,11,318.0
17.0,215.0,23,402.0
-84.0,220.0,19,441.0
-39.0,225.0,14,453.0
-12.0,230.0,15,422.0
31.0,235.0,25,424.0
-2.0,240.0,16,395.0
29.0,245.0,14,359.0
36.0,250.0,16,385.0
-26.0,255.0,19,429.0
-44.0,260.0,18,415.0
14.0,265.0,20,388.0
27.0,270.0,23,440.0
-52.0,275.0,18,463.0
-23.0,280.0,24,482.0
-19.0,285.0,17,432.0
50.0,290.0,22,426.0
6.0,295.0,19,456.0
-30.0,300.0,19,475.0
-19.0,305.0,21,453.0
22.0,310.0,15,450.0
3.0,315.0,17,463.0
-13.0,320.0,19,500.0
-37.0,325.0,29,546.0
-46.0,330.0,17,588.0
-42.0,335.0,22,637.0
-49.0,340.0,24,683.0
-46.0,345.0,23,699.0
-16.0,350.0,21,661.0
38.0,355.0,20,670.0
-9.0,360.0,24,624.0
46.0,365.0,15,613.0
11.0,370.0,19,568.0
45.0,375.0,19,482.0
86.0,380.0,24,526.0
-44.0,385.0,19,577.0
-51.0,390.0,15,590.0
-13.0,395.0,22,595.0
-5.0,400.0,24,643.0
-48.0,405.0,22,639.0
4.0,410.0,21,652.0
-13.0,415.0,32,633.0
19.0,420.0,23,610.0
23.0,425.0,26,610.0
0.0,430.0,24,675.0
-65.0,435.0,25,730.0
-55.0,440.0,23,711.0
19.0,445.0,22,734.0
-23.0,450.0,24,697.0
37.0,455.0,19,675.0
22.0,460.0,22,713.0
-38.0,465.0,25,730.0
-17.0,470.0,26,795.0
-65.0,475.0,20,773.0
22.0,480.0,25,714.0
59.0,485.0,30,745.0
-31.0,490.0,30,803.0
-58.0,495.0,28,806.0
-3.0,500.0,24,843.0
-37.0,505.0,35,842.0
1.0,510.0,26,914.0
-72.0,515.0,24,943.0
-29.0,520.0,29,996.0
-53.0,525.0,29,1054.0
-58.0,530.0,26,1023.0
31.0,535.0,24,913.0
110.0,540.0,28,860.0
53.0,545.0,27,767.0
93.0,550.0,32,761.0
6.0,555.0,24,812.0
-51.0,560.0,24,800.0
12.0,565.0,22,754.0
46.0,570.0,18,651.0
103.0,575.0,19,616.0
35.0,580.0,23,563.0
53.0,585.0,28,654.0
-91.0,590.0,29,795.0
-141.0,595.0,37,863.0
-68.0,600.0,23,854.0
9.0,605.0,18,713.0
141.0,610.0,23,702.0
11.0,615.0,24,721.0
-19.0,620.0,21,668.0
53.0,625.0,19,628.0
40.0,630.0,20,582.0
46.0,635.0,20,447.0
135.0,640.0,29,495.0
-48.0,645.0,26,622.0
-127.0,650.0,23,694.0
-72.0,655.0,20,710.0
-16.0,660.0,17,693.0
17.0,665.0,17,592.0
101.0,670.0,19,556.0
36.0,675.0,19,597.0
-41.0,680.0,20,620.0
-23.0,685.0,29,615.0
5.0,690.0,24,588.0
27.0,695.0,25,598.0
-10.0,700.0,20,518.0
80.0,705.0,21,473.0
45.0,710.0,20,510.0
-37.0,715.0,15,538.0
-28.0,720.0,23,536.0
2.0,725.0,26,543.0
-7.0,730.0,34,687.0
-144.0,735.0,27,738.0
-51.0,740.0,25,718.0
20.0,745.0,20,706.0
12.0,750.0,18,641.0
65.0,755.0,22,612.0
29.0,760.0,22,641.0
-29.0,765.0,23,642.0
-1.0,770.0,20,645.0
-3.0,775.0,33,659.0
-14.0,780.0,27,664.0
-5.0,785.0,25,700.0
-36.0,790.0,22,622.0
78.0,795.0,23,599.0
23.0,800.0,21,621.0
-22.0,805.0,16,569.0
52.0,810.0,22,534.0
35.0,815.0,18,526.0
8.0,820.0,22,538.0
-12.0,825.0,20,599.0
-61.0,830.0,23,631.0
-32.0,835.0,19,623.0
8.0,840.0,22,608.0
15.0,845.0,26,638.0
-30.0,850.0,21,614.0
24.0,855.0,20,615.0
-1.0,860.0,18,588.0
27.0,865.0,33,536.0
52.0,870.0,29,619.0
-83.0,875.0,24,678.0
-59.0,880.0,21,665.0
13.0,885.0,22,668.0
-3.0,890.0,19,609.0
59.0,895.0,16,646.0
-37.0,900.0,19,662.0
-16.0,905.0,21,712.0
-50.0,910.0,24,669.0
43.0,915.0,25,558.0
111.0,920.0,31,616.0
-58.0,925.0,28,687.0
-71.0,930.0,25,746.0
-59.0,935.0,21,756.0
-10.0,940.0,22,692.0
64.0,945.0,22,620.0
72.0,950.0,20,635.0
-15.0,955.0,30,642.0
-7.0,960.0,18,705.0
-63.0,965.0,18,716.0
