reward,step_time,total_stopped,total_wait_time
0.0,5.0,0,0.0
0.0,10.0,0,0.0
0.0,15.0,0,0.0
0.0,20.0,4,8.0
-8.0,25.0,10,30.0
-22.0,30.0,8,66.0
-36.0,35.0,6,72.0
-6.0,40.0,4,60.0
12.0,45.0,6,81.0
-21.0,50.0,6,111.0
-30.0,55.0,14,157.0
-46.0,60.0,12,217.0
-60.0,65.0,14,279.0
-62.0,70.0,8,286.0
-7.0,75.0,8,224.0
62.0,80.0,10,238.0
-14.0,85.0,15,273.0
-35.0,90.0,18,348.0
-75.0,95.0,14,388.0
-40.0,100.0,11,373.0
15.0,105.0,9,286.0
87.0,110.0,11,210.0
76.0,115.0,14,156.0
54.0,120.0,11,189.0
-33.0,125.0,11,184.0
5.0,130.0,7,176.0
8.0,135.0,11,183.0
-7.0,140.0,13,245.0
-62.0,145.0,19,282.0
-37.0,150.0,11,295.0
-13.0,155.0,11,342.0
-47.0,160.0,9,262.0
80.0,165.0,13,296.0
-34.0,170.0,15,361.0
-65.0,175.0,19,443.0
-82.0,180.0,14,492.0
-49.0,185.0,14,514.0
-22.0,190.0,9,423.0
91.0,195.0,12,290.0
133.0,200.0,14,345.0
-55.0,205.0,16,391.0
-46.0,210.0,13,416.0
-25.0,215.0,16,322.0
94.0,220.0,17,368.0
-46.0,225.0,16,421.0
-53.0,230.0,15,444.0
-23.0,235.0,22,513.0
-69.0,240.0,16,562.0
-49.0,245.0,17,604.0
-42.0,250.0,20,699.0
-95.0,255.0,17,630.0
69.0,260.0,17,558.0
72.0,265.0,19,594.0
-36.0,270.0,19,603.0
-9.0,275.0,14,537.0
66.0,280.0,19,433.0
104.0,285.0,16,448.0
-15.0,290.0,19,497.0
-49.0,295.0,17,516.0
-19.0,300.0,15,534.0
-18.0,305.0,16,550.0
-16.0,310.0,19,572.0
-22.0,315.0,15,447.0
125.0,320.0,17,287.0
160.0,325.0,24,333.0
-46.0,330.0,14,338.0
-5.0,335.0,11,297.0
41.0,340.0,13,308.0
-11.0,345.0,18,360.0
-52.0,350.0,16,404.0
-44.0,355.0,17,414.0
-10.0,360.0,20,438.0
-24.0,365.0,16,493.0
-55.0,370.0,14,530.0
